CO_MUNICIPIO;NO_MUNICIPIO;QTD_ESCOLAS;QTD_ESCOLAS_INFO_DESKTOPS;PCT_ESCOLAS_INFO_DESKTOPS;QTD_ESCOLAS_URBANAS;QTD_ESCOLAS_RURAIS;QTD_ESCOLAS_FEDERAIS;QTD_ESCOLAS_ESTADUAIS;QTD_ESCOLAS_MUNICIPAIS;QTD_ESCOLAS_ENSINO_MEDIO;PCT_ESCOLAS_ENSINO_MEDIO;PCT_ESCOLAS_AGUA_POTAVEL;PCT_ESCOLAS_ENERGIA_REDE_PUBLICA;PCT_ESCOLAS_ESGOTO_REDE_PUBLICA;PCT_ESCOLAS_COLETA_LIXO;PCT_ESCOLAS_BIBLIOTECA_LEITURA;PCT_ESCOLAS_LAB_CIENCIAS;PCT_ESCOLAS_LAB_INFORMATICA;PCT_ESCOLAS_QUADRA;PCT_ESCOLAS_REFEITORIO;PCT_ESCOLAS_INTERNET;PCT_ESCOLAS_INTERNET_ALUNOS;PCT_ESCOLAS_INTERNET_APRENDIZAGEM;PCT_ESCOLAS_BANDA_LARGA;PCT_ESCOLAS_BANHEIRO_PNE;PCT_ESCOLAS_SALA_ATENDIMENTO_ESPECIAL;PCT_ESCOLAS_RAMPAS;PCT_ESCOLAS_PISOS_TATEIS;PCT_ESCOLAS_SINALIZACAO_ACESSIVEL;PCT_ESCOLAS_SEM_ACESSIBILIDADE;QTD_ESCOLAS_COM_INTERNET;PCT_ESCOLAS_COM_INTERNET_QUE_TEM_BANDA_LARGA;TOTAL_DESKTOPS_ALUNOS;TOTAL_PORTATEIS_ALUNOS;TOTAL_TABLETS_ALUNOS;TOTAL_SALAS_UTILIZADAS;TOTAL_SALAS_CLIMATIZADAS;TOTAL_SALAS_ACESSIVEIS;PCT_SALAS_CLIMATIZADAS;PCT_SALAS_ACESSIVEIS
2100055;Açailândia;89;89;100.0;58;31;1;15;73;16;17.98;95.51;98.88;12.36;85.39;70.79;5.62;10.11;22.47;40.45;89.89;41.57;61.8;83.15;59.55;33.71;68.54;7.87;0.0;20.22;80.0;92.5;221;53;136;652;373;312;57.21;47.85
2100105;Afonso Cunha;23;23;100.0;6;17;0;1;22;2;8.7;100.0;100.0;4.35;26.09;26.09;0.0;13.04;21.74;13.04;73.91;13.04;43.48;0.0;26.09;4.35;47.83;0.0;0.0;39.13;17.0;0.0;35;9;83;104;76;0;73.08;0.0
2100154;Água Doce do Maranhão;29;29;100.0;7;22;0;2;27;2;6.9;89.66;100.0;0.0;75.86;13.79;0.0;0.0;10.34;6.9;89.66;3.45;27.59;89.66;27.59;0.0;44.83;6.9;0.0;51.72;26.0;100.0;4;14;1;133;20;7;15.04;5.26
2100204;Alcântara;45;45;100.0;8;37;2;2;41;3;6.67;100.0;100.0;0.0;22.22;24.44;8.89;8.89;11.11;22.22;95.56;35.56;44.44;66.67;44.44;6.67;62.22;0.0;0.0;26.67;43.0;69.77;98;15;4;211;22;46;10.43;21.8
2100303;Aldeias Altas;40;40;100.0;11;29;0;1;39;1;2.5;100.0;100.0;0.0;35.0;35.0;0.0;2.5;5.0;10.0;90.0;57.5;35.0;90.0;32.5;17.5;67.5;5.0;2.5;32.5;36.0;100.0;40;30;6;229;100;50;43.67;21.83
2100402;Altamira do Maranhão;16;16;100.0;6;10;0;1;15;1;6.25;43.75;100.0;0.0;81.25;6.25;6.25;12.5;12.5;37.5;93.75;81.25;93.75;93.75;18.75;0.0;56.25;6.25;0.0;37.5;15.0;100.0;16;13;0;56;32;6;57.14;10.71
2100436;Alto Alegre do Maranhão;30;30;100.0;17;13;0;2;28;2;6.67;100.0;100.0;20.0;60.0;26.67;6.67;10.0;10.0;10.0;93.33;23.33;46.67;83.33;53.33;20.0;36.67;3.33;0.0;33.33;28.0;89.29;28;11;0;197;95;15;48.22;7.61
2100477;Alto Alegre do Pindaré;67;67;100.0;14;53;0;9;58;9;13.43;100.0;98.51;4.48;46.27;31.34;1.49;1.49;16.42;40.3;92.54;50.75;85.07;92.54;25.37;23.88;68.66;7.46;0.0;1.49;62.0;100.0;21;12;255;356;286;38;80.34;10.67
2100501;Alto Parnaíba;29;29;100.0;6;23;0;1;28;1;3.45;96.55;62.07;17.24;20.69;0.0;0.0;3.45;6.9;3.45;41.38;3.45;13.79;17.24;13.79;3.45;13.79;0.0;0.0;82.76;12.0;41.67;0;11;0;102;33;9;32.35;8.82
2100550;Amapá do Maranhão;17;17;100.0;8;9;0;1;16;1;5.88;100.0;100.0;0.0;76.47;52.94;0.0;0.0;41.18;23.53;100.0;29.41;70.59;88.24;35.29;23.53;58.82;5.88;0.0;41.18;17.0;88.24;27;6;0;86;73;34;84.88;39.53
