CO_ESCOLA;NO_ESCOLA;CO_MUNICIPIO;NO_MUNICIPIO;DEPENDENCIA;LOCALIZACAO;FONTE_IDENTIFICACAO;QTD_REGISTROS;QTD_PARTICIPANTES_CN;MEDIA_CN;QTD_PARTICIPANTES_CH;MEDIA_CH;QTD_PARTICIPANTES_LC;MEDIA_LC;QTD_PARTICIPANTES_MT;MEDIA_MT;QTD_PRESENTES_REDACAO;QTD_REDACOES_SEM_PROBLEMAS;PERCENTUAL_REDACOES_SEM_PROBLEMAS;MEDIA_REDACAO_GERAL;MEDIA_REDACAO_SEM_PROBLEMAS;IN_AGUA_POTAVEL;IN_ENERGIA_REDE_PUBLICA;IN_ESGOTO_REDE_PUBLICA;IN_LIXO_SERVICO_COLETA;IN_BIBLIOTECA;IN_BIBLIOTECA_SALA_LEITURA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_QUADRA_ESPORTES;IN_REFEITORIO;IN_INTERNET;IN_INTERNET_ALUNOS;IN_INTERNET_APRENDIZAGEM;IN_BANDA_LARGA;QT_DESKTOP_ALUNO;QT_COMP_PORTATIL_ALUNO;QT_TABLET_ALUNO;IN_BANHEIRO_PNE;IN_SALA_ATENDIMENTO_ESPECIAL;IN_ACESSIBILIDADE_RAMPAS;IN_ACESSIBILIDADE_PISOS_TATEIS;IN_ACESSIBILIDADE_SINALIZACAO;IN_ACESSIBILIDADE_INEXISTENTE;QT_SALAS_UTILIZADAS;QT_SALAS_UTILIZA_CLIMATIZADAS;QT_SALAS_UTILIZADAS_ACESSIVEIS;TEM_BIBLIOTECA_OU_SALA_LEITURA;QTD_SERVICOS_BASICOS;PERCENTUAL_SERVICOS_BASICOS;QTD_ESPACOS_ESCOLARES;PERCENTUAL_ESPACOS_ESCOLARES;QTD_INFORMACOES_CONECTIVIDADE;QTD_RECURSOS_CONECTIVIDADE;PERCENTUAL_RECURSOS_CONECTIVIDADE;TOTAL_DISPOSITIVOS_ALUNOS;QTD_RECURSOS_ACESSIBILIDADE;PERCENTUAL_RECURSOS_ACESSIBILIDADE;PERCENTUAL_SALAS_CLIMATIZADAS;PERCENTUAL_SALAS_ACESSIVEIS
21000034;CENTRO EDUCA MAIS PROFESSOR AQUILES BATISTA VIEIRA;2100204;Alcântara;2.0;1.0;CENSO_ESCOLAR_2025;92;75;446.48;80;440.53;80;467.91;75;415.48;80;70;87.5;452.5;517.14;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;9.0;5.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;10.0;10.0;10.0;1.0;3.0;75.0;4.0;80.0;4;4.0;100.0;14.0;3.0;60.0;100.0;100.0
21001685;CENTRO DE ENSINO AMERICA DO NORTE;2101301;Bacuri;2.0;1.0;CENSO_ESCOLAR_2025;38;25;424.86;23;429.99;23;437.5;25;395.88;23;12;52.17;244.35;468.33;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;3.0;75.0;0.0;0.0;4;4.0;100.0;2.0;0.0;0.0;0.0;0.0
21001898;CENTRO DE ENSINO AMADO JOAQUIM;2100832;Apicum-Açu;2.0;1.0;CENSO_ESCOLAR_2025;102;72;443.37;80;444.88;80;467.89;72;439.73;80;71;88.75;495.75;558.59;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;19.0;8.0;8.0;1.0;3.0;75.0;3.0;60.0;4;3.0;75.0;2.0;1.0;20.0;42.11;42.11
21001901;CENTRO DE ENSINO CRISTINO PIMENTA;2101301;Bacuri;2.0;1.0;CENSO_ESCOLAR_2025;72;57;427.84;61;447.86;61;458.46;57;432.89;61;50;81.97;446.89;545.2;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;7.0;6.0;0.0;1.0;2.0;50.0;2.0;40.0;4;4.0;100.0;0.0;2.0;40.0;85.71;0.0
21003130;CENTRO EDUCA MAIS ANICETO CANTANHEDE;2101905;Bequimão;2.0;1.0;CENSO_ESCOLAR_2025;23;13;453.62;16;434.93;16;455.26;13;377.17;16;12;75.0;396.25;528.33;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;6.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;6.0;0.0;0.0;1.0;3.0;75.0;1.0;20.0;4;4.0;100.0;6.0;4.0;80.0;0.0;0.0
21003173;CENTRO DE ENSINO MANOEL BECKMAN;2101905;Bequimão;2.0;1.0;CENSO_ESCOLAR_2025;98;63;430.33;69;428.02;69;444.87;63;407.87;69;53;76.81;377.97;492.08;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;9.0;0.0;0.0;1.0;3.0;75.0;1.0;20.0;4;4.0;100.0;1.0;1.0;20.0;0.0;0.0
21003947;CENTRO DE ENSINO PAULO CORDEIRO FILHO;2102408;Cajapió;2.0;1.0;CENSO_ESCOLAR_2025;52;44;436.82;45;430.61;45;451.55;44;422.3;45;39;86.67;507.56;585.64;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;10.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;8.0;8.0;8.0;1.0;2.0;50.0;2.0;40.0;4;3.0;75.0;10.0;1.0;20.0;100.0;100.0
21004013;CENTRO EDUCA MAIS DR DEUSDETH CORTEZ VIEIRA DA SILVA;2101350;Bacurituba;2.0;1.0;CENSO_ESCOLAR_2025;73;55;426.42;55;438.64;55;455.27;55;399.94;55;48;87.27;449.09;514.58;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;9.0;5.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;5.0;5.0;5.0;1.0;3.0;75.0;2.0;40.0;4;4.0;100.0;14.0;2.0;40.0;100.0;100.0
21004447;CENTRO DE ENSINO PEDRO NEIVA DE SANTANA;2103109;Cedral;2.0;1.0;CENSO_ESCOLAR_2025;147;111;436.8;116;446.3;116;467.07;111;412.3;116;94;81.03;447.59;552.34;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;5.0;4.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;6.0;6.0;6.0;1.0;3.0;75.0;2.0;40.0;4;4.0;100.0;9.0;3.0;60.0;100.0;100.0
21004455;CENTRO DE ENSINO JOSE RIBAMAR EWERTON;2109056;Porto Rico do Maranhão;2.0;1.0;CENSO_ESCOLAR_2025;55;43;423.22;48;440.18;48;457.31;43;392.93;48;45;93.75;499.17;532.44;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;4.0;4.0;4.0;1.0;3.0;75.0;2.0;40.0;4;4.0;100.0;1.0;2.0;40.0;100.0;100.0
