ANO_REFERENCIA;UF;DIMENSAO;CATEGORIA;ETAPA;QTD_ESCOLAS_GRUPO;QTD_ESCOLAS_COM_MATRICULADOS;QTD_ESCOLAS_COM_PRESENTES;QTD_ESCOLAS_COM_DESEMPENHO_LP;QTD_ESCOLAS_COM_DESEMPENHO_MT;TOTAL_MATRICULADOS_BASE_PARTICIPACAO;TOTAL_PRESENTES_BASE_PARTICIPACAO;TAXA_PARTICIPACAO_AGREGADA;MEDIA_LP_SIMPLES_ESCOLAS;MEDIA_LP_PONDERADA_PRESENTES;MEDIA_MT_SIMPLES_ESCOLAS;MEDIA_MT_PONDERADA_PRESENTES;QTD_ESTUDANTES_PESO_LP;QTD_ESTUDANTES_PESO_MT;QTD_ESCOLAS_FORMACAO_DOCENTE;MEDIA_ESCOLAR_FORMACAO_DOCENTE;MEDIANA_ESCOLAR_FORMACAO_DOCENTE
2023;MA;Estado;Maranhão;5º ano do Ensino Fundamental;3861;2260;2267;2133;2133;81076;76859;94.8;184.96;189.02;193.55;197.22;74398;74398;2529;51.22;53.1
2023;MA;Estado;Maranhão;9º ano do Ensino Fundamental;3861;2125;2133;1909;1909;95106;87756;92.27;232.09;237.75;228.77;233.39;82910;82910;2435;27.72;24.0
2023;MA;Estado;Maranhão;Ensino Médio;3861;730;732;612;612;71873;63895;88.9;251.49;255.68;248.94;252.04;56260;56260;767;53.84;54.4
2023;MA;Área;Capital;5º ano do Ensino Fundamental;216;110;110;100;100;8516;7669;90.05;198.84;199.49;203.9;204.46;7210;7210;111;76.02;79.5
2023;MA;Área;Capital;9º ano do Ensino Fundamental;216;130;130;111;111;10114;8930;88.29;245.97;247.84;235.03;237.3;7852;7852;138;59.0;60.15
2023;MA;Área;Capital;Ensino Médio;216;98;98;82;82;11229;9835;87.59;265.54;270.15;254.8;258.82;8498;8498;101;77.61;79.9
2023;MA;Área;Interior;5º ano do Ensino Fundamental;3645;2150;2157;2033;2033;72560;69190;95.36;184.28;187.9;193.04;196.44;67188;67188;2418;50.09;51.0
2023;MA;Área;Interior;9º ano do Ensino Fundamental;3645;1995;2003;1798;1798;84992;78826;92.75;231.24;236.69;228.38;232.98;75058;75058;2297;25.84;22.2
2023;MA;Área;Interior;Ensino Médio;3645;632;634;530;530;60644;54060;89.14;249.32;253.11;248.03;250.84;47762;47762;666;50.23;50.6
2023;MA;Localização;Urbana;5º ano do Ensino Fundamental;2063;1208;1210;1168;1168;57238;54387;95.02;190.16;192.06;198.64;200.39;53062;53062;1222;55.5;57.1
2023;MA;Localização;Urbana;9º ano do Ensino Fundamental;2063;938;940;888;888;65128;60519;92.92;240.89;242.33;235.94;237.21;58232;58232;1030;38.68;37.5
2023;MA;Localização;Urbana;Ensino Médio;2063;511;511;448;448;62130;55526;89.37;256.91;257.74;252.92;253.62;49619;49619;524;60.69;60.9
2023;MA;Localização;Rural;5º ano do Ensino Fundamental;1798;1052;1057;965;965;23838;22472;94.27;178.66;181.47;187.38;189.33;21336;21336;1307;47.23;46.7
2023;MA;Localização;Rural;9º ano do Ensino Fundamental;1798;1187;1193;1021;1021;29978;27237;90.86;224.44;226.94;222.53;224.37;24678;24678;1405;19.69;14.3
2023;MA;Localização;Rural;Ensino Médio;1798;219;221;164;164;9743;8369;85.9;236.71;240.34;238.06;240.25;6641;6641;243;39.06;33.3
2023;MA;Nível socioeconômico;Nível I;5º ano do Ensino Fundamental;24;5;9;1;1;118;34;28.81;151.67;151.67;150.36;150.36;11;11;12;24.47;11.8
2023;MA;Nível socioeconômico;Nível I;9º ano do Ensino Fundamental;24;7;15;0;0;111;0;0.0;;;;;0;0;19;5.43;0.0
2023;MA;Nível socioeconômico;Nível I;Ensino Médio;24;0;2;0;0;0;0;;;;;;0;0;2;20.85;20.85
2023;MA;Nível socioeconômico;Nível II;5º ano do Ensino Fundamental;910;486;488;451;451;9290;8869;95.47;174.44;175.27;183.9;184.82;8458;8458;618;45.52;44.7
2023;MA;Nível socioeconômico;Nível II;9º ano do Ensino Fundamental;910;534;534;461;461;12322;11179;90.72;217.44;219.16;216.43;217.93;10110;10110;660;14.82;11.1
2023;MA;Nível socioeconômico;Nível II;Ensino Médio;910;149;149;122;122;9956;8816;88.55;234.84;236.77;236.28;237.76;7806;7806;161;38.87;38.5
2023;MA;Nível socioeconômico;Nível III;5º ano do Ensino Fundamental;2076;1234;1235;1167;1167;43494;41302;94.96;182.35;183.28;191.32;192.13;39992;39992;1344;49.12;50.0
2023;MA;Nível socioeconômico;Nível III;9º ano do Ensino Fundamental;2076;1117;1117;1015;1015;48641;44966;92.44;230.79;232.55;227.89;228.95;42704;42704;1246;28.04;24.65
2023;MA;Nível socioeconômico;Nível III;Ensino Médio;2076;432;432;359;359;43658;38714;88.68;249.13;251.44;247.58;249.17;34016;34016;449;52.87;53.4
2023;MA;Nível socioeconômico;Nível IV;5º ano do Ensino Fundamental;814;515;515;494;494;27129;25655;94.57;199.13;201.24;206.06;207.88;24938;24938;535;63.02;66.7
2023;MA;Nível socioeconômico;Nível IV;9º ano do Ensino Fundamental;814;445;445;411;411;32038;29681;92.64;248.71;248.45;241.8;241.72;28166;28166;486;43.94;45.8
2023;MA;Nível socioeconômico;Nível IV;Ensino Médio;814;139;139;122;122;16829;14987;89.05;270.77;272.49;261.53;262.75;13131;13131;145;72.83;75.7
2023;MA;Nível socioeconômico;Nível V;5º ano do Ensino Fundamental;37;20;20;20;20;1045;999;95.6;226.27;230.77;234.35;240.04;999;999;20;69.27;68.5
2023;MA;Nível socioeconômico;Nível V;9º ano do Ensino Fundamental;37;22;22;22;22;1994;1930;96.79;288.85;293.91;284.46;291.01;1930;1930;24;55.43;59.4
2023;MA;Nível socioeconômico;Nível V;Ensino Médio;37;10;10;9;9;1430;1378;96.36;310.31;310.24;304.01;304.5;1307;1307;10;69.54;72.2
